ERPNext Item Group,Parent Item Group,Is Group,Exported Direct Items,Enabled Direct Items,Disabled Direct Items,Review Status,Matrix Row,Solution Line,Category,Dealers Max Discount %,Traders Max Discount %,Technicians Max Discount %,NGOs / Parastatals Max Discount %,Corporates Max Discount %,End Users / Retail Max Discount %,Notes,Item Name Examples
HDPE Fittings,Wt-Fittings And Accessories,0,72,72,0,Accepted,29,Shared Piping / Hardware,"Fittings & Accessories (PVC,PPR,HDPE,GI)",25.0,20.0,18.0,17.1,17.1,15.39,Accepted by user: use proposed Item Group mapping for all items in this group.,Hdpe End Cap 75mm | Hdpe Coupler 25mm | Hdpe Reducing Coupler 40mmx25mm | Hdpe Reduced Coupler 110mmx90mm
HOUSING FOR FILTER,WTE- PARTS,0,0,0,0,Accepted,12,Water Treatment,Parts,10.0,8.0,7.2,6.84,6.84,6.156,Accepted by user: use proposed Item Group mapping for all items in this group.,
Installation Consumables,Consumable,0,13,13,0,Accepted,33,Shared Piping / Hardware,Consumables,25.0,20.0,18.0,17.1,17.1,15.39,Accepted by user: use proposed Item Group mapping for all items in this group.,Sealing rose | Screws 3'' | Tangit glue | Drill bits 6mm
Inverters,Equipments,0,15,15,0,Accepted,21,Solar Equipment,Equipment,25.0,20.0,18.0,17.1,17.1,15.39,Accepted by user: use proposed Item Group mapping for all items in this group.,Sunverter SVB 3.7Kw 3PH | 300W Inverter | 5KVA Inverter | Inverter
MEMBRANES,Membrane,0,0,0,0,Accepted,11,Water Treatment,Consumables,30.0,24.0,21.6,20.52,20.52,18.468,Accepted by user: use proposed Item Group mapping for all items in this group.,
P.U FOOD PIPES,Plumbing Fittings &Accessories,0,0,0,0,Accepted,30,Shared Piping / Hardware,Plumbing & Piping Accessories,25.0,20.0,18.0,17.1,17.1,15.39,Accepted by user: use proposed Item Group mapping for all items in this group.,
PH Correction Chemicals,Wt-Chemicals,0,9,9,0,Accepted,14,Water Treatment Chemicals & Media,Chemicals,15.0,12.0,10.8,10.26,10.26,9.234,Accepted by user: use proposed Item Group mapping for all items in this group.,PH Plus Liquid  5L | PH Plus Liquid 20L | Ph  Plus Liquid 20 Ltrs | PH plus 5kg
Pipes,Plumbing Fittings &Accessories,0,63,63,0,Accepted,30,Shared Piping / Hardware,Plumbing & Piping Accessories,25.0,20.0,18.0,17.1,17.1,15.39,Accepted by user: use proposed Item Group mapping for all items in this group.,"Cpvc Pipe 1"" | Borehole column pipe  2"" 27Bar*3m | Airline Pipes | Reinforced braided horse pipe 1/2"""
Pool chemicals,Wt-Chemicals,0,11,11,0,Accepted,19,Swimming Pools,Chemicals,15.0,12.0,10.8,10.26,10.26,9.234,Accepted by user: use proposed Item Group mapping for all items in this group.,Magic touch 5ltrs | Blue buddies | Super Touch 20L | HTH Clear Blue
Pool Consumables,Consumable,0,17,17,0,Accepted,18,Swimming Pools,Consumables,15.0,12.0,10.8,10.26,10.26,9.234,Accepted by user: use proposed Item Group mapping for all items in this group.,HI-Vac-Brush | Floor Washing Brush with Handle | Swimming Pool Brush | Life Boy ring Small
Pool Filters,Equipments,0,11,11,0,Accepted,16,Swimming Pools,Equipment,50.0,40.0,36.0,34.2,34.2,30.78,Accepted by user: use proposed Item Group mapping for all items in this group.,Pool Sand Filter 400 with Top Mount  Valve | Pool Sand Filter 600 With Top Mount Valve | Pool Sand Filter 750 with Side Mount Valve | Pool Sand Filter 800 With Side Mount Valve
Pool Pumps,Equipments,0,9,9,0,Accepted,16,Swimming Pools,Equipment,50.0,40.0,36.0,34.2,34.2,30.78,Accepted by user: use proposed Item Group mapping for all items in this group.,Pool Pump CNP 1 HP | Aurel Swimming Pool Pump | NSA300 2.2KW 50HZ/1PH/220V/Plastic | NSA250 1.85KW 50HZ/1PH/220V/Plastic
PPR Fittings,Wt-Fittings And Accessories,0,69,69,0,Accepted,29,Shared Piping / Hardware,"Fittings & Accessories (PVC,PPR,HDPE,GI)",25.0,20.0,18.0,17.1,17.1,15.39,Accepted by user: use proposed Item Group mapping for all items in this group.,PPR Reducing bush 25mmx20mm | PPR female straight adapter 25x3/4 | PPR male adapter 25x 3/4 | PPR Ball cork 20mm
Project Consumables,All Item Groups,0,2,2,0,Accepted,33,Shared Piping / Hardware,Consumables,25.0,20.0,18.0,17.1,17.1,15.39,Accepted by user: use proposed Item Group mapping for all items in this group.,Perforated min trunking | 1 gang 2 way switch
PROJECTS CONSUMABLES,All Item Groups,0,1,1,0,Accepted,33,Shared Piping / Hardware,Consumables,25.0,20.0,18.0,17.1,17.1,15.39,Accepted by user: use proposed Item Group mapping for all items in this group.,"Elbow 2"" SS316"
PU FITTINGS,WTE- PARTS,0,0,0,0,Accepted,29,Shared Piping / Hardware,"Fittings & Accessories (PVC,PPR,HDPE,GI)",25.0,20.0,18.0,17.1,17.1,15.39,Accepted by user: use proposed Item Group mapping for all items in this group.,
PUMPS,,0,0,0,0,Accepted,7,Water Pumping,Equipment,40.0,32.0,28.8,27.36,27.36,24.624,Accepted by user: use proposed Item Group mapping for all items in this group.,
Purifier Accessories,Wt-Parts,0,7,6,1,Accepted,12,Water Treatment,Parts,10.0,8.0,7.2,6.84,6.84,6.156,Accepted by user: use proposed Item Group mapping for all items in this group.,Faucet Gf-06 for 100gpd min Ro (premium) | Faucet Gf-02 for 100gpd min Ro (standard) | Silicone Membrane Lubricant | Adapter for RO booster pump 100G DAD-2415
Pvc Fittings,Fittings & Accessories,0,237,237,0,Accepted,29,Shared Piping / Hardware,"Fittings & Accessories (PVC,PPR,HDPE,GI)",25.0,20.0,18.0,17.1,17.1,15.39,Accepted by user: use proposed Item Group mapping for all items in this group.,"Cpvc glue 1L | Cpvc Ball Cork 1"" | Cpvc Socket 1"" | Horse Barb 3/4 by 3/4"
Ro Accessories,Wt-Parts,0,125,125,0,Accepted,12,Water Treatment,Parts,10.0,8.0,7.2,6.84,6.84,6.156,Accepted by user: use proposed Item Group mapping for all items in this group.,"Needle valve 3"" SS 304 | Solenoid valve 3"" SS 304 | PH Controller- 750 | Inline Flow Meter 8000LPH"
RO CONTROL PANELS,WTE- PARTS,0,2,2,0,Accepted,32,Share Electricals& Cables,Controls & Electricals,10.0,8.0,7.2,6.84,6.84,6.156,Accepted by user: use proposed Item Group mapping for all items in this group.,11 pin relay base | 24 V RELAY 11 PIN
Ro Machines Accessories,Wt-Parts,1,4,4,0,Accepted,12,Water Treatment,Parts,10.0,8.0,7.2,6.84,6.84,6.156,Accepted by user: use proposed Item Group mapping for all items in this group.,Retainer | plastic tank For Min Ro | Rectangular Top Tank 230L Black | Ferrule Connector 2.5mm
RO PLANTS,WATER TREATMENT,0,0,0,0,Accepted,10,Water Treatment,Equipment,50.0,40.0,36.0,34.2,34.2,30.78,Accepted by user: use proposed Item Group mapping for all items in this group.,
Ro Systems,Equipments,0,32,32,0,Accepted,10,Water Treatment,Equipment,50.0,40.0,36.0,34.2,34.2,30.78,Accepted by user: use proposed Item Group mapping for all items in this group.,125LPH Ro system | Ro Machine 250lph | Water Softener 400LPH | 500lph Reverse Osmosis
